neuron_name,electrode_code,full_location,region_abbr
times_manual_GA1-RMH1_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH2_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH2_unit_2,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH3_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH4_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH4_unit_2,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH5_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH6_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH6_unit_2,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH7_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH7_unit_2,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH8_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH8_unit_2,RMH,Right-Hippocampus,HPC
times_manual_GB1-LA1_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA2_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA2_unit_2,LA,Left-Amygdala,AMY
times_manual_GB1-LA3_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA3_unit_2,LA,Left-Amygdala,AMY
times_manual_GB1-LA4_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA4_unit_2,LA,Left-Amygdala,AMY
times_manual_GB1-LA4_unit_3,LA,Left-Amygdala,AMY
times_manual_GB1-LA5_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA6_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA6_unit_2,LA,Left-Amygdala,AMY
times_manual_GB1-LA7_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LA7_unit_2,LA,Left-Amygdala,AMY
times_manual_GB1-LA8_unit_1,LA,Left-Amygdala,AMY
times_manual_GB4-LSMGA2_unit_1,LSMGA,ctx-lh-insula,INS
times_manual_GB4-LSMGA3_unit_1,LSMGA,ctx-lh-insula,INS
times_manual_GB4-LSMGA4_unit_1,LSMGA,ctx-lh-insula,INS
times_manual_GB4-LSMGA5_unit_1,LSMGA,ctx-lh-insula,INS
times_manual_GB4-LSMGA5_unit_2,LSMGA,ctx-lh-insula,INS
times_manual_GB4-LSMGA6_unit_1,LSMGA,ctx-lh-insula,INS
times_manual_GB4-LSMGA6_unit_2,LSMGA,ctx-lh-insula,INS
times_manual_GB4-LSMGA8_unit_1,LSMGA,ctx-lh-insula,INS
times_manual_GC1-LTO2_unit_1,LTO,ctx-lh-precuneus,PC
times_manual_GC1-LTO3_unit_1,LTO,ctx-lh-precuneus,PC
times_manual_GC1-LTO5_unit_1,LTO,ctx-lh-precuneus,PC
times_manual_GC1-LTO6_unit_1,LTO,ctx-lh-precuneus,PC
times_manual_GC1-LTO7_unit_1,LTO,ctx-lh-precuneus,PC
times_manual_GC1-LTO7_unit_2,LTO,ctx-lh-precuneus,PC
times_manual_GC1-LTO8_unit_1,LTO,ctx-lh-precuneus,PC
