neuron_name,electrode_code,full_location,region_abbr
times_manual_GA1-REC2_unit_1,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC2_unit_2,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC3_unit_1,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC3_unit_2,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC3_unit_3,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC4_unit_1,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC4_unit_2,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC5_unit_1,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC6_unit_1,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC6_unit_2,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC7_unit_1,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC7_unit_2,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC7_unit_3,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC8_unit_1,REC,ctx-rh-entorhinal,ERC
times_manual_GA1-REC8_unit_2,REC,ctx-rh-entorhinal,ERC
times_manual_GA2-RFSG1_unit_1,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG1_unit_2,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG1_unit_3,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG2_unit_1,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG3_unit_1,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG3_unit_2,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG3_unit_3,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG3_unit_4,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG3_unit_5,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG4_unit_1,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG4_unit_2,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG5_unit_1,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG5_unit_2,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG5_unit_3,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG6_unit_1,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG7_unit_1,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG7_unit_2,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG8_unit_1,RFSG,ctx-rh-fusiform,FUS
times_manual_GA2-RFSG8_unit_2,RFSG,ctx-rh-fusiform,FUS
times_manual_GA3-RO1_unit_1,RO,Left-Amygdala,AMY
times_manual_GA3-RO2_unit_1,RO,Left-Amygdala,AMY
times_manual_GA3-RO2_unit_2,RO,Left-Amygdala,AMY
times_manual_GA3-RO2_unit_3,RO,Left-Amygdala,AMY
times_manual_GA3-RO3_unit_1,RO,Left-Amygdala,AMY
times_manual_GA3-RO4_unit_1,RO,Left-Amygdala,AMY
times_manual_GA3-RO4_unit_2,RO,Left-Amygdala,AMY
times_manual_GA3-RO5_unit_1,RO,Left-Amygdala,AMY
times_manual_GA3-RO5_unit_2,RO,Left-Amygdala,AMY
times_manual_GA3-RO6_unit_1,RO,Left-Amygdala,AMY
times_manual_GA3-RO6_unit_2,RO,Left-Amygdala,AMY
times_manual_GA3-RO6_unit_3,RO,Left-Amygdala,AMY
times_manual_GA3-RO7_unit_1,RO,Left-Amygdala,AMY
times_manual_GA3-RO7_unit_2,RO,Left-Amygdala,AMY
times_manual_GA3-RO8_unit_1,RO,Left-Amygdala,AMY
times_manual_GA3-RO8_unit_2,RO,Left-Amygdala,AMY
times_manual_GA3-RO8_unit_3,RO,Left-Amygdala,AMY
times_manual_GA4-RPv1_unit_1,RPV,Right-Thalamus,THL
times_manual_GA4-RPv1_unit_2,RPV,Right-Thalamus,THL
times_manual_GA4-RPv1_unit_3,RPV,Right-Thalamus,THL
times_manual_GA4-RPv2_unit_1,RPV,Right-Thalamus,THL
times_manual_GA4-RPv2_unit_2,RPV,Right-Thalamus,THL
times_manual_GA4-RPv2_unit_3,RPV,Right-Thalamus,THL
times_manual_GA4-RPv3_unit_1,RPV,Right-Thalamus,THL
times_manual_GA4-RPv3_unit_2,RPV,Right-Thalamus,THL
times_manual_GA4-RPv3_unit_3,RPV,Right-Thalamus,THL
times_manual_GA4-RPv4_unit_1,RPV,Right-Thalamus,THL
times_manual_GA4-RPv4_unit_2,RPV,Right-Thalamus,THL
times_manual_GA4-RPv4_unit_3,RPV,Right-Thalamus,THL
times_manual_GA4-RPv4_unit_4,RPV,Right-Thalamus,THL
times_manual_GA4-RPv5_unit_1,RPV,Right-Thalamus,THL
times_manual_GA4-RPv5_unit_2,RPV,Right-Thalamus,THL
times_manual_GA4-RPv6_unit_1,RPV,Right-Thalamus,THL
times_manual_GA4-RPv6_unit_2,RPV,Right-Thalamus,THL
times_manual_GA4-RPv6_unit_3,RPV,Right-Thalamus,THL
times_manual_GA4-RPv6_unit_4,RPV,Right-Thalamus,THL
